Drug1,Drug2,Cell_Line,Tissue,SynergyRank,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,RankBoost,BIRRA,RRA
5-Fluorouracil,Veliparib,MDA.MB.436,breast,1995.5,-0.08093265,-1.2145708,-1.0012399,0.13303804,1.0069289,1.8476843,2.8047209,-2.5307658,1.3506815,0.3866886,-0.17167729,-6.9784293,1.8627962,3.2138107,0.29336262,1.13653,-4.478604,2.2921362,3.8093069,4.579355,0.8751914,2.1578705,1.289334,-3.045085,2.4972186,2019,1971,2044,1981,2044,1971,1980,1888,2019,2049,2085,2625
5-Fluorouracil,geldanamycin,MDA.MB.436,breast,2667.5,0.55704665,1.6801372,1.4261011,0.8147925,1.1028514,-0.68631387,0.5967522,-2.2143657,-1.2303952,1.3717524,2.0432894,-1.8894943,-0.40288892,-1.0050154,-0.56960654,4.299964,-6.4597087,-2.9801376,-0.23172592,2.047324,-1.1880753,0.28609848,0.5722557,0.16142039,0.47557718,2225,2019,2232,2103,2232,2019,2034,2284,2225,2244,2318,2099
5-Fluorouracil,Lapatinib,MDA.MB.436,breast,2269.5,-1.274009,-0.09542477,0.49726492,0.46603355,-4.366018,-1.9495957,-1.5272113,-3.8992932,-1.5217996,1.7531317,-0.9050837,-1.2879665,-0.21667895,-1.1190127,-1.2401754,1.1433231,3.8217063,2.5490255,-1.4433928,1.2234144,1.7732958,-6.031267,-0.95286596,-1.8389231,0.6469568,2501,2320,2463,2384,2463,2320,2313,2662,2501,2468,2722,2416
5-Fluorouracil,891494-63-6,MDA.MB.436,breast,173.5,2.6687613,-0.8801097,1.9661539,1.2276587,-0.36577278,-2.8411837,0.03257135,1.0704564,0.7427619,2.3655467,0.32533675,-1.1947778,2.090062,1.3225389,0.07121459,0.8848188,2.7548075,1.3559554,-0.39915782,2.7436693,1.1743313,-0.13446726,1.663374,0.62094367,3.7779007,1859,1650,1872,1706,1872,1650,1650,1833,1859,1878,1916,1389
5-Fluorouracil,391210-10-9,MDA.MB.436,breast,2121.5,3.7917013,0.64703375,3.3446655,1.3324825,1.8787374,1.9411746,1.3411108,-2.779817,-2.8161018,1.6317992,-0.3348137,-4.8620267,-0.47134665,-1.3952577,0.70143163,0.26011717,-3.4495153,-2.1637232,-2.0105562,2.553959,-2.782185,1.4108803,-3.2687125,2.306833,2.7297003,2216,2060,2208,2146,2208,2060,2071,2104,2216,2225,2386,2089
5-Fluorouracil,Sunitinib,MDA.MB.436,breast,1271.5,-1.6735044,-0.46176046,1.1048127,0.7753499,-3.8414688,-0.06782745,-0.865503,0.45895395,2.622601,-0.33699447,-1.393959,0.1778333,-0.021961525,1.2281709,0.59937966,0.39994583,-2.5331523,-2.0268571,0.32746023,-0.2784758,-0.14162031,-3.7925353,-0.3952799,-0.8503673,-0.3673687,2442,2171,2391,2279,2391,2171,2172,2333,2442,2393,2538,1894
MK-1775,Veliparib,MDA.MB.436,breast,2009.5,-0.33416337,-18.558666,6.781904,-7.5716743,-2.0045102,12.032847,-4.260795,6.7338843,-0.9653412,-5.717478,5.443437,-9.863596,-2.8275664,-0.9546423,4.5046883,-1.0518216,-8.985877,3.9528966,-7.7793612,7.272177,7.8557315,2.8478765,-0.16853356,4.9007864,6.6831536,2155,3433,2259,2926,2259,3433,3433,2537,2155,2279,1751,3784
MK-1775,Bortezomib,MDA.MB.436,breast,3193.5,-3.9075851,-2.3210762,-1.4005909,-2.1701949,-1.9383059,-3.0083523,-4.462952,-3.7421627,-4.003352,-4.920354,-3.0775502,-1.1051065,-1.6565294,-0.9953591,-0.4536246,-2.5178676,-2.3813367,-2.8705823,-2.2513611,1.4374893,-3.4439945,-1.1326795,-2.9285207,-0.92750734,-2.5724123,3204,2857,3107,2988,3107,2857,2844,3269,3204,3106,3334,2121
MK-1775,geldanamycin,MDA.MB.436,breast,1705.5,3.9583292,4.6780367,4.6733274,5.86165,4.9209323,3.918731,2.3606884,2.7258666,4.2331743,4.391859,3.576504,2.5127244,4.1950827,7.6429935,5.2865105,9.0121355,2.8653212,0.8948091,2.687206,3.926231,4.0097,1.8643966,4.7118177,4.0623612,0.44848615,885,781,951,820,951,781,787,943,885,956,822,748
MK-1775,MK-2206,MDA.MB.436,breast,1021.5,14.349961,9.111048,16.402151,12.536682,11.667226,7.309759,11.002414,11.279464,10.779521,7.603366,10.062644,11.606647,4.116295,11.7933,9.755624,12.043451,9.892802,11.403318,10.97849,9.684743,14.629845,7.155926,5.704421,10.083331,9.287867,115,121,115,117,115,121,126,111,115,114,1,172
MK-1775,Niraparib,MDA.MB.436,breast,531.5,5.7514315,5.5516376,4.788986,7.2950606,10.025136,11.967023,7.176471,3.6578774,3.240672,-2.6419604,5.4000998,5.380727,5.5978975,5.336283,2.7234058,3.524581,5.691204,4.189125,3.790489,9.769199,7.609009,6.345983,6.336598,2.0678864,4.0729933,657,653,651,663,651,653,653,688,657,655,699,645
MK-1775,MK-5108,MDA.MB.436,breast,4705.5,-2.2378716,-7.11232,-6.2924733,-9.73605,-8.08208,-7.6757383,-2.2439325,-0.78159493,-10.872051,-10.533359,-3.5744455,-11.426816,-8.770837,-0.595395,-5.9761653,-5.936464,-1.8662814,-5.853644,-11.144574,-8.645186,-7.3204117,-1.1196047,3.4920301,-4.633176,-7.8011127,4042,3974,4036,4024,4036,3974,3975,4233,4042,4043,4006,3659
Bortezomib,Eloxatin (TN),MDA.MB.436,breast,3803.5,-6.867065,-7.2164373,-6.5990996,-7.262914,-3.2500918,-6.0691037,-2.0500057,-3.4635458,-6.7526107,-5.8028107,-4.807844,-5.8813972,-2.4300613,-4.855887,-2.6373143,-5.1933956,-2.3913863,-7.4746323,-1.4057939,-4.925349,-6.9131927,-5.914864,-3.561767,-8.452861,-8.187319,4052,3769,3929,3888,3929,3769,3770,4023,4052,3927,4034,3261
Carboplatinum,915019-65-7,MDA.MB.436,breast,529.5,7.2992554,5.5891767,7.7883325,0.8834662,5.7506356,3.0381367,3.4735556,4.803402,6.953258,5.6040235,2.6177742,5.0553665,8.034155,3.9862556,6.568536,4.2354484,7.0844254,2.8040617,3.7439687,8.030652,7.9999037,10.070836,5.5413976,8.179467,6.7802944,554,512,583,533,583,512,530,638,554,586,591,516
Carboplatinum,Lapatinib,MDA.MB.436,breast,2043.5,-3.5324354,-1.829015,-0.43102407,-2.0694752,0.094504595,-2.5828977,-0.21128917,-0.7695868,-2.1920223,-4.9822564,-2.2469757,0.46601546,-5.388338,2.337445,-7.655743,-3.495397,0.21367095,1.9310306,-9.1730175,-3.9948633,0.47539794,2.392277,-0.56847686,1.6738167,-3.7082872,2933,2929,2953,2905,2953,2929,2943,3008,2933,2935,3071,3387
Carboplatinum,Niraparib,MDA.MB.436,breast,1259.5,1.6612587,2.7555707,5.2057247,4.909009,5.6924644,1.1002631,3.2564716,0.58834547,2.2295752,1.688103,2.6207645,5.875264,3.890326,3.1278636,-1.7154392,5.3468966,1.671825,3.35449,2.6992009,6.025648,3.8982697,1.3587954,2.5368872,1.0545086,2.4820564,1189,1028,1229,1091,1229,1028,1037,1323,1189,1218,1220,907
Carboplatinum,MK-5108,MDA.MB.436,breast,2321.5,-2.623958,-0.10812954600000001,4.081198,2.1671062,0.63774085,-9.455827,5.443828,-0.4034748,-0.8954808,-3.6450279,-4.318372,-4.138734,-0.33407128,-4.789395,-6.3891363,-5.516978,1.4455812,-2.8357694,-2.1015475,2.4282403,-0.3764161,-1.376719,-5.930397,-7.1138372,1.37269,2914,3044,2939,2983,2939,3044,3037,2648,2914,2927,2952,3320
cyclophosphamide,Veliparib,MDA.MB.436,breast,3315.5,4.568649,4.5515447,4.540575,-0.2134969,0.6240038,-5.8849683,-1.1381769,-2.3784356,-2.2496915,-0.2808429,1.6548102,-0.09181215,-2.4755087,-1.6317594,-3.21459,2.5723803,1.3463995,0.6011203,-1.298589,-5.6947174,1.6871884,-1.0337765,2.0605617,1.4405426,-1.2100332,2250,2161,2260,2210,2260,2161,2169,2236,2250,2274,2095,2444
cyclophosphamide,Dasatinib,MDA.MB.436,breast,3517.5,-8.471126,-4.384236,-3.0868287,-12.649313,-10.144737,-5.227834,-6.2065716,-5.7850075,-10.511621,-8.412198,-4.1657166,-0.8630064,-1.5107741,-6.350082,-5.180798,-4.9843397,-2.8399563,0.2699991,-3.9176953,-8.541491,-3.0351677,-2.9587226,-9.479239,-4.6709723,-5.7320056,4039,3912,3989,3955,3989,3912,3916,3977,4039,3985,4007,3831
cyclophosphamide,Erlotinib,MDA.MB.436,breast,5103.5,-27.103115,-20.839354,-20.21508,-26.804756,-21.66321,-13.563443,-14.083586,-25.618504,-19.197332,-20.874456,-14.555379,-13.8207855,-7.9935284,-23.823473,-10.285332,-17.883595,-23.770245,-23.947388,-19.156164,-15.733589,-19.283491,-13.140163,-17.322233,-18.881342,-18.212143,5117,4991,5085,5040,5085,4991,4994,5115,5117,5083,5152,5349
cyclophosphamide,Vorinostat,MDA.MB.436,breast,5129.5,-47.618015,-36.769623,-42.38005,-36.852,-36.797028,-26.775087,-47.635193,-43.311184,-39.467052,-24.787855,-23.278166,-19.994854,-35.00659,-20.25533,-15.521476,-38.456833,-32.94337,-30.58806,-42.979633,-33.691463,-15.636227,-23.715736,-16.221376,-23.243143,-31.132551,5458,5468,5475,5466,5475,5468,5468,5511,5458,5476,5329,5679
Dasatinib,915019-65-7,MDA.MB.436,breast,1897.5,8.004812,12.771605,9.968784,7.693479,10.706126,7.6251097,11.285497,9.166523,9.063838,5.507075,2.773211,4.755265,10.211732,10.468454,8.459583,5.291429,5.4660053,4.4476833,8.648732,8.710106,12.253501,7.9732394,10.345906,7.341332,5.5820794,267,281,269,269,269,281,288,244,267,270,220,287
Dasatinib,Dinaciclib,MDA.MB.436,breast,2933.5,-0.20952888,3.134277,-2.0085654,-2.754398,-3.1300528,-4.112015,1.7747558,2.8815877,0.5478039,-2.942216,-1.3235438,2.264437,-0.847511,-2.9365942,-0.10496703,-0.7798705,0.90852493,3.5616567,-2.1265085,-2.6921532,-2.413825,1.7383407,-4.531218,-2.3398938,-3.5621397,2601,2475,2575,2511,2575,2475,2471,2837,2601,2556,2769,2270
dexamethasone,Erlotinib,MDA.MB.436,breast,5133.5,-37.35628,-12.888079,-18.427765,-26.049105,-19.180258,-17.405489,-13.275592,-29.774298,-12.2923975,-18.982082,-16.916258,-16.471354,-11.998088,-11.21759,-10.390089,-10.229535,-22.940834,-26.230412,-16.656395,-10.334863,-24.7113,-16.3241,-10.833153,-18.69435,-15.7765045,5052,5011,5040,5021,5040,5011,5018,5010,5052,5038,4949,5538
dexamethasone,Lapatinib,MDA.MB.436,breast,4635.5,-16.185005,-6.1276655,-11.44186,-13.247923,-11.144747,-7.4740515,-5.995268,-18.755163,-10.559626,-12.297115,-12.792279,-12.859752,-8.766781,-7.4505644,-9.23331,-8.547086,-13.6546335,-9.6046915,-11.737072,-8.396072,-15.773496,-12.141974,-10.355773,-5.8852577,-6.2187614,4639,4482,4557,4521,4557,4482,4487,4565,4639,4553,4707,4324
dexamethasone,891494-63-6,MDA.MB.436,breast,5059.5,-11.671169,-11.059097,-17.696072,-12.715777,-15.445921,-22.3325,-19.791212,-17.20372,-17.274046,-18.566069,-12.689774,-14.876662,-12.989822,-4.262746,-19.48182,-14.54986,-22.528816,-20.058393,-19.285118,-15.25151,-15.463801,-21.90961,-8.833635,-21.916763,-18.148705,4997,4862,4961,4912,4961,4862,4867,4978,4997,4954,5029,4791
dexamethasone,391210-10-9,MDA.MB.436,breast,3879.5,-11.439438,-9.525828,-9.208255,-5.3189898,-8.186932,-14.721783,-6.672108,-10.673959,-10.551453,-14.545214,-9.831364,-14.941294,-14.330219,-9.602572,-7.950273,-13.910429,-5.971485,-18.761398,-13.201613,-5.3860784,-18.287628,-17.030613,-10.905212,-20.781673,-13.128531,4709,4576,4654,4624,4654,4576,4574,4591,4709,4651,4708,4781
dexamethasone,temozolomide,MDA.MB.436,breast,2257.5,-8.295793,-1.1838998,2.0306568,-5.7628903,-2.379695,-5.4012876,0.0664431,-3.9986615,-3.9721954,-11.525505,2.0039656,-2.6466992,0.35709152,-7.8315587,-7.1129603,-3.5375023,-9.129336,-6.5028653,-3.0973375,-0.6892834,-6.600606,-1.980777,-2.9079275,-3.7577326,-2.575423,3565,3552,3566,3547,3566,3552,3553,3565,3565,3565,3547,3586
dexamethasone,Vorinostat,MDA.MB.436,breast,4825.5,-30.952993,-20.277794,-34.992832,-13.566493,-21.638285,-21.104525,-24.449469,-26.597425,-19.499908,-17.42901,-14.869401,-20.71574,-21.87018,-13.233832,-12.543151,-29.48569,-19.291323,-21.494555,-23.844439,-19.38276,-17.725054,-14.777477,-11.141885,-19.526571,-23.865551,5192,5104,5156,5135,5156,5104,5106,5134,5192,5155,5232,5428
Dinaciclib,891494-63-6,MDA.MB.436,breast,3387.5,1.3072879,-0.6915111,5.5640574,-0.62323827,1.2657106,2.0670655,0.17264968,3.036588,1.2832991,1.8137788,1.7751615,0.73864347,-1.5414993,0.38456497,1.0561887,3.4600337,2.0226867,-0.06612317,4.2497606,1.7632943,5.753115,-1.9318694,1.0172541,-0.6195204,2.4484267,1666,1444,1661,1545,1661,1444,1445,1756,1666,1671,1726,1192
doxorubicin,915019-65-7,MDA.MB.436,breast,1023.5,6.167416,2.229247,5.032633,4.8431125,2.556197,2.5742204,2.2675664,3.9535148,5.38426,3.293137,2.8635414,1.8274815,3.6357536,3.503028,3.4418006,2.5972989,5.3438616,1.0225667,3.4309018,2.4435525,3.7666943,2.8463933,3.1353955,6.4046674,4.1181054,971,793,1044,879,1044,793,796,1066,971,1049,1074,642
doxorubicin,Niraparib,MDA.MB.436,breast,3747.5,0.854007,-2.7237527,3.6409771,-1.2188454,-1.5877476,-1.33854,-2.9098773000000002,-2.0485868,0.9091902,1.386831,0.3008228,-4.7900195,0.50559956,1.9524474,-3.4756863,-1.8093944,-3.733608,-1.6177262,-2.834163,-0.39046767,-0.2203464,-0.54464257,-1.5402999,-1.5970793,-3.5128767,2728,2473,2644,2567,2644,2473,2469,2886,2728,2646,2844,2069
doxorubicin,Vorinostat,MDA.MB.436,breast,1565.5,1.446558,-1.8536035,2.1921709,0.16032687,-0.6807753,-2.1034303,-0.80185896,-1.414685,-2.9671755,-0.59206,1.2719247,-1.607097,-0.9121808,0.35214472,-1.4510225,-3.9355977,0.41238204,-1.9282979,-2.3716416,1.8380566,-1.7987903,-1.3902801,-1.4846122,-1.6367563,-2.639268,2648,2358,2578,2448,2578,2358,2342,2737,2648,2579,2741,1997
Erlotinib,Eloxatin (TN),MDA.MB.436,breast,4259.5,-4.958563,-3.2324002,-4.2612085,-0.72629374,-3.8023477,-2.8092792,-3.7804725,-10.068481,-9.335269,-11.412597,-3.7168326,-3.2963958,-8.068645,-7.8259144,-4.967314,-5.3287315,-0.69977057,-3.1732967,-5.155404,-2.073605,-2.2728426,-11.106773,-4.4202213,-6.922082,-2.4339898,3935,3801,3883,3863,3883,3801,3797,3891,3935,3895,3935,3629
Erlotinib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,677.5,3.9530973,2.7587335,4.0370946,-0.114895634,1.5958483,2.7067766,4.061597,3.8719268,5.9651966,2.8932667,2.563901,5.375176,2.6039922,3.59417,-0.1116018,4.0420556,-2.103105,-2.5726252,2.3262641,0.93907917,1.7736871,2.2593355,2.0361373,1.3127166,4.215957,1340,1251,1382,1289,1382,1251,1250,1316,1340,1384,1407,1411
etoposide,Veliparib,MDA.MB.436,breast,1101.5,4.3434706,-1.6409482,4.804543,-1.3681171,-0.40176046,2.7926095,1.4438379,4.6007323,2.0280817,4.269861,1.7153811,-0.9670052,-0.9817604,-0.23995982,-1.3021812,3.66544,-1.0317776,5.3525343,2.0857897,1.6834447,5.8299627,3.4079995,3.6798544,3.4405835,0.35833752,1506,1404,1502,1472,1502,1404,1411,1545,1506,1516,1417,1266
etoposide,MK-1775,MDA.MB.436,breast,593.5,3.6217432,2.898697,5.535333,9.729341,3.5480504,7.152084,2.0444872,4.4005423,1.0766774,1.4471692,2.0792916,6.345166,1.1250628,4.1555214,4.9748225,6.106121,5.365375,3.3988729,3.8824325,4.2942505,3.5980837,5.455831,2.047598,4.7360406,7.142659,857,743,887,793,887,743,739,897,857,889,818,636
