Variable,SpearmanRho
SynergyRank,1
Borda,0.7738518647527766
Markov,0.7536435055921948
MC1,0.7704091147034068
MC2,0.7646831782986026
MC3,0.7704091147034068
BMARC,0.7536435055921948
BMARCW,0.7541012964871422
CEMC_k,0.7730213932697007
CEMC_s,0.7738518647527766
RankBoost,0.770635081755714
BIRRA,0.7734087362192433
RRA,0.7262617181157547
A1,0.7069431163392974
A2,0.6992942519796022
A3,0.7188985396844844
A4,0.7194492580580089
A5,0.7220966902479861
B1,0.7010757048680268
B2,0.7169142377224232
B3,0.7055653377422917
B4,0.7097447353931833
B5,0.7102774933405663
C1,0.6564591542366757
C2,0.7292048197914395
C3,0.70833034771836
C4,0.6750410698401781
C5,0.7323617424642632
D1,0.7255355677870877
D2,0.7252724563276567
D3,0.6932451514303447
D4,0.7030251721107189
D5,0.7102636889134182
E1,0.7020648683550957
E2,0.7164560309866078
E3,0.6792376493367897
E4,0.703234357576496
E5,0.7085122751591573
