Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
5-Fluorouracil,Erlotinib,MDA.MB.436,breast,4.61783064,-1.4183514,-0.7232435,-1.375199,-2.2283607,-1.2678912,-3.4846916,1.460551,8.831993,0.78200084,1.4986842,6.827627,2.1807003,3.2601197,-2.0003855,-1.4254736,0.13349828,-0.21315911,4.5247607,1.4889894,-3.8297093,-2.5159385,-0.61473185,-2.2330914,0.4223107,1.1179346
5-Fluorouracil,L-778123 free base,MDA.MB.436,breast,3.31872472,3.6815865,0.105573915,2.0431645,0.2914816,-2.2814846,1.5681078,1.5522568,3.176231,-0.31433573,-0.62299585,1.741969,3.3293285,3.3714623,1.468105,-3.5032887,-2.155741,-5.7297964,1.6998075,-2.2552524,2.564079,-0.58741415,-1.4517483,-1.9280351,7.9792066,1.5790313
5-Fluorouracil,MK-2206,MDA.MB.436,breast,1.879164576,3.909145,1.9232405,8.589543,4.8896756,2.7980082,3.368441,3.5645041,9.217836,4.7575984,5.8995404,9.213421,5.936302,4.5523763,1.2346731,2.6944215,6.3068233,4.133491,6.9559817,4.5510793,1.9722915,3.2790034,3.2576175,2.289797,4.6033173,3.921522
5-Fluorouracil,Sorafenib,MDA.MB.436,breast,-10.87441591,-10.676883,-8.137023,-9.3538,-13.539986,-13.499463,-11.171198,-8.626971,-4.9426475,-6.949557,-7.92008,-1.7823726,0.14268655,-3.8447049,-9.5079365,-8.545646,-7.214114,-10.073546,-9.236202,-9.849928,-3.7605915,-4.461064,-12.043384,-6.317449,-7.9991183,-6.028015
Veliparib,Deforolimus,MDA.MB.436,breast,1.985932584,4.0412045,-0.75441086,2.602558,-1.9157728,5.076722,9.05166,6.417508,9.374867,7.7459517,2.434295,1.2337425,8.909385,5.3796253,6.5778794,6.0203505,5.445386,5.7176304,6.0931144,5.222323,6.876388,5.2791486,9.206325,-0.7541385,2.687806,11.3449545
Veliparib,Eloxatin (TN),MDA.MB.436,breast,-5.484987255,-2.429536,0.3854601,1.1768645,1.6282576,0.3777471,3.293505,0.80358034,4.5467834,-0.60183185,3.4461102,-0.25203466,-1.4446539,0.5513596,-1.0695066,4.0035853,0.7700305,-0.3311555,3.3420722,-1.7399672,3.2488716,5.341838,0.8964044,4.147681,3.229351,2.1623476
MK-1775,Dasatinib,MDA.MB.436,breast,2.859244403,4.210987,3.5958395,0.9913747,3.8205152,-4.5441747,-1.0023067,1.8658437,-1.3754557,-1.0096384,-0.90739363,-3.552714,0.8414567,-2.3294218,3.310995,6.2485843,1.0640891,-2.2859116,3.2951348,1.4785397,5.1945715,5.6753206,-1.3500326,-0.17717084,5.6714864,0.83613795
MK-1775,891494-63-6,MDA.MB.436,breast,21.12960148,3.8380523,8.409316,2.8108337,8.233392,3.6494567,-1.2141072,5.2532153,1.8930207,3.497571,4.3849807,1.8622768,8.649115,3.4813504,4.619841,4.509135,2.4818397,4.1022415,4.989689,5.7450595,7.3089337,3.6618626,2.7387743,0.38490498,3.6288004,7.1663146
MK-1775,Eloxatin (TN),MDA.MB.436,breast,-4.30365628,-0.4538572,-1.2848331,2.1065624,3.4063504,6.859897,-2.580257,1.3982524,3.996659,9.960928,4.0363164,-2.3192744,-5.8933425,4.0898614,9.38593,-0.7424514,-4.3857474,-1.1322424,2.2756197,3.772179,4.3427405,-0.5491452,5.0416403,1.5665267,0.49434838,0.23697805
Bortezomib,915019-65-7,MDA.MB.436,breast,0.631582526,2.6696808,-0.6960075,1.1802882,1.5041857,2.7894378,3.597087,1.6282822,2.8288603,2.1435847,2.8140466,3.8401394,-0.27058673,0.44371265,2.2436597,2.8796892,-1.1276044,1.9528865,2.1676319,0.41128418,1.600491,3.0947652,0.773832,1.1141201,1.3710799,0.15818924
