Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Camptothecin,AU565,breast,3156,16125,16386,16168,16386,7710,3741,3102,3156,2654,3577
Cisplatin,Camptothecin,BT.549,breast,6789,12077,12823,12257,12823,9340,11083,5968,6789,6289,8013
Cisplatin,Camptothecin,CAL.120,breast,13788,3329,5050,3854,5050,14622,18301,14145,13788,12979,18948
Cisplatin,Camptothecin,CAL.51,breast,1624,17340,17454,17374,17454,6898,1929,1355,1624,1335,1188
Cisplatin,Camptothecin,CAMA.1,breast,10150,7751,9130,8347,9130,11904,16930,9135,10150,9937,18946
Cisplatin,Camptothecin,COLO.824,breast,6442,12804,13463,12934,13463,9263,9301,5650,6442,5632,7626
Cisplatin,Camptothecin,DU.4475,breast,3126,15909,16102,15951,16102,7435,4203,2683,3126,2602,2653
Cisplatin,Camptothecin,EFM.19,breast,12819,5293,7003,5701,7003,14223,17779,14204,12819,12391,18944
Cisplatin,Camptothecin,EVSA.T,breast,1335,17705,17781,17721,17781,6826,1454,1091,1335,1065,1132
Cisplatin,Camptothecin,HCC1143,breast,11074,7238,8829,7849,8829,13000,17193,10818,11074,10775,18942
Cisplatin,Camptothecin,HCC1187,breast,5110,13724,14318,13836,14318,8307,7160,4938,5110,4977,4971
Cisplatin,Camptothecin,HCC1395,breast,17907,275,259,275,259,17858,18936,17970,17907,17853,18940
Cisplatin,Camptothecin,HCC1419,breast,17899,266,273,268,273,17890,18934,17767,17899,17854,18938
Cisplatin,Camptothecin,HCC1428,breast,7779,10544,11409,10850,11409,9904,13927,6778,7779,6915,9532
Cisplatin,Camptothecin,HCC1806,breast,3441,15955,16309,15963,16309,7651,3861,3227,3441,3141,3793
Cisplatin,Camptothecin,HCC1937,breast,3582,15989,16325,15977,16325,7662,3834,3886,3582,3646,4064
Cisplatin,Camptothecin,HCC1954,breast,10692,7081,8853,7731,8853,12199,17110,10827,10692,9898,18936
